label,frequency,score
0,5297,0.9892573356628418
1,413,0.9878934621810913
2,5379,0.9897757768630981
3,5532,0.9953850507736206
4,5279,0.9933038353919983
5,484,0.9906735420227051
6,5330,0.996049702167511
7,423,0.9644087553024292
8,520,0.972511887550354
9,5367,0.9905421733856201
